account,total_pnl,closedPnL_mean,closedPnL_median,closedPnL_std,win_rate,size_sum,avg_trade_size_usd,total_trades,total_trade_volume,Cluster
0x083384f897ee0f19899168e3b1bec365f52a9012,1600229.82,419.13,0.0,4692.45,0.36,61697263.97,16159.58,3818,61697264.24,1
0x430f09841d65beb3f27765503d0f850b8bce7713,416541.87,336.74,0.0,1649.5,0.48,2966109.22,2397.82,1237,2966109.34,2
0x4f93fead39b70a1824f981a54d4e55b278e9f760,196133.98,29.11,0.0,673.56,0.35,113694512.95,16876.13,6737,113694512.54,0
0x513b8629fe877bb581bf244e326a047b249c4ff1,840422.56,68.68,0.0,639.4,0.4,420876556.36,34396.58,12236,420876556.26,3
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,403011.5,281.83,0.0,1591.52,0.31,3051144.33,2133.67,1430,3051144.51,0
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,65513.66,34.28,0.0,325.76,0.33,11999173.37,6279.0,1911,11999173.19,0
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,67845.62,120.51,0.0,474.81,0.41,1677425.72,2979.44,563,1677425.71,2
